TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612752,New York Knicks,19,13,6,0.684,922.0,118.3,120.3,111.9,114.5,6.4,5.8,0.556,1.77,17.6,0.298,0.757,0.53,0.137,0.577,0.606,99.8,97.85,81.54,1880,0.525,11,4,2,3,14,4,16,4,28,21,25,9,1,2,17,4,7,23,8
1610612760,Oklahoma City Thunder,22,10,12,0.455,1061.0,111.7,114.2,113.5,115.5,-1.8,-1.3,0.557,1.99,16.6,0.292,0.693,0.484,0.115,0.516,0.561,103.3,101.32,84.43,2241,0.486,1,14,24,19,1,20,18,19,27,11,29,11,26,25,1,29,25,6,21
1610612753,Orlando Magic,19,10,9,0.526,917.0,110.2,113.4,110.8,112.5,-0.6,0.9,0.585,1.75,17.7,0.289,0.746,0.512,0.14,0.534,0.572,103.6,101.34,84.45,1933,0.502,11,14,13,14,17,23,7,16,25,24,24,12,2,7,18,21,22,5,14
1610612755,Philadelphia 76ers,21,13,8,0.619,1018.0,119.4,121.0,112.5,115.2,7.0,5.8,0.618,1.92,18.7,0.278,0.732,0.516,0.135,0.573,0.623,97.4,95.55,79.63,2029,0.533,2,4,10,8,3,2,17,3,14,17,14,15,10,6,14,7,2,29,5
1610612756,Phoenix Suns,18,11,7,0.611,864.0,115.2,117.9,110.9,113.0,4.3,5.0,0.637,2.28,19.7,0.298,0.72,0.508,0.123,0.543,0.579,101.3,99.22,82.69,1783,0.527,26,10,5,9,30,8,11,8,5,2,4,8,18,13,6,20,20,16,7
1610612757,Portland Trail Blazers,20,5,15,0.25,960.0,106.3,108.6,119.2,120.1,-12.9,-11.4,0.596,1.61,17.2,0.238,0.702,0.461,0.143,0.524,0.564,101.8,100.3,83.58,2001,0.432,7,29,28,29,10,27,28,30,21,28,28,29,25,30,22,25,24,13,30
1610612758,Sacramento Kings,21,15,6,0.714,1023.0,122.1,123.5,116.5,118.3,5.6,5.2,0.63,2.31,19.9,0.269,0.741,0.509,0.12,0.592,0.626,102.3,101.0,84.16,2151,0.52,2,1,2,2,2,1,24,6,8,1,2,17,4,10,5,1,1,9,9
1610612759,San Antonio Spurs,19,6,13,0.316,927.0,105.8,108.1,117.1,118.9,-11.3,-10.8,0.645,1.86,18.8,0.274,0.729,0.49,0.142,0.523,0.549,104.3,102.47,85.39,1983,0.448,11,25,25,25,13,28,26,29,4,18,13,16,14,23,19,27,29,3,27
1610612761,Toronto Raptors,19,11,8,0.579,917.0,112.6,115.1,111.0,111.9,1.6,3.2,0.594,2.2,18.3,0.324,0.735,0.511,0.119,0.522,0.553,98.5,97.05,80.87,1853,0.501,11,10,10,11,17,17,5,12,23,5,17,3,7,8,4,28,28,25,16
1610612762,Utah Jazz,18,7,11,0.389,869.0,109.5,112.0,113.4,115.9,-3.9,-3.9,0.618,1.65,18.1,0.313,0.737,0.529,0.153,0.528,0.566,104.8,102.57,85.48,1857,0.489,26,24,21,24,28,26,19,22,13,27,20,4,6,3,28,23,23,2,20
1610612764,Washington Wizards,20,6,14,0.3,965.0,110.9,113.6,117.3,117.9,-6.4,-4.3,0.603,1.79,18.7,0.282,0.732,0.508,0.146,0.553,0.584,98.7,97.32,81.1,1955,0.482,7,25,27,27,7,22,22,23,19,20,15,14,11,14,25,14,17,24,24
