Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,season_id
15T,Michael Finley,27,DAL,0.0,1.0,1240,0.001,82,42.0,21.5,5.2,4.4,1.4,0.4,0.458,0.346,0.775,8.5,0.119,2000-01
15T,Anthony Mason,34,MIA,0.0,1.0,1240,0.001,80,40.7,16.1,9.6,3.1,1.0,0.3,0.482,,0.781,11.6,0.171,2000-01
15T,John Stockton,38,UTA,0.0,1.0,1240,0.001,82,29.2,11.5,2.8,8.7,1.6,0.3,0.504,0.462,0.817,10.8,0.216,2000-01
1,Tim Duncan,25,SAS,57.0,954.0,1260,0.757,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257,2001-02
2,Jason Kidd,28,NJN,45.0,897.0,1260,0.712,82,37.3,14.7,7.3,9.9,2.1,0.2,0.391,0.321,0.814,8.9,0.14,2001-02
3,Shaquille O'Neal,29,LAL,15.0,696.0,1260,0.552,67,36.1,27.2,10.7,3.0,0.6,2.0,0.579,0.0,0.555,13.2,0.262,2001-02
4,Tracy McGrady,22,ORL,7.0,390.0,1260,0.31,76,38.3,25.6,7.9,5.3,1.6,1.0,0.451,0.364,0.748,11.5,0.189,2001-02
5,Kobe Bryant,23,LAL,1.0,98.0,1260,0.078,80,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.829,12.7,0.199,2001-02
6,Gary Payton,33,SEA,1.0,54.0,1260,0.043,82,40.3,22.1,4.8,9.0,1.6,0.3,0.467,0.314,0.797,12.6,0.183,2001-02
7,Chris Webber,28,SAC,0.0,37.0,1260,0.029,54,38.4,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.749,8.6,0.2,2001-02
8,Dirk Nowitzki,23,DAL,0.0,31.0,1260,0.025,76,38.0,23.4,9.9,2.4,1.1,1.0,0.477,0.397,0.853,13.4,0.222,2001-02
9,Allen Iverson,26,PHI,0.0,29.0,1260,0.023,60,43.7,31.4,4.5,5.5,2.8,0.2,0.398,0.291,0.812,6.9,0.126,2001-02
10,Ben Wallace,27,DET,0.0,24.0,1260,0.019,80,36.5,7.6,13.0,1.4,1.7,3.5,0.531,0.0,0.423,11.6,0.19,2001-02
11,Paul Pierce,24,BOS,0.0,22.0,1260,0.017,82,40.3,26.1,6.9,3.2,1.9,1.0,0.442,0.404,0.809,12.9,0.187,2001-02
12,Kevin Garnett,25,MIN,0.0,17.0,1260,0.013,81,39.2,21.2,12.1,5.2,1.2,1.6,0.47,0.319,0.801,12.8,0.194,2001-02
13,Michael Jordan,38,WAS,0.0,16.0,1260,0.013,60,34.9,22.9,5.7,5.2,1.4,0.4,0.416,0.189,0.79,3.3,0.075,2001-02
14,Steve Nash,27,DAL,0.0,5.0,1260,0.004,82,34.6,17.9,3.1,7.7,0.6,0.0,0.483,0.455,0.887,9.9,0.167,2001-02
15,Jerry Stackhouse,27,DET,0.0,3.0,1260,0.002,76,35.3,21.4,4.1,5.3,1.0,0.5,0.397,0.287,0.858,5.8,0.104,2001-02
16T,Mike Bibby,23,SAC,0.0,1.0,1260,0.001,80,33.2,13.7,2.8,5.0,1.1,0.2,0.453,0.37,0.803,6.3,0.113,2001-02
16T,Elton Brand,22,LAC,0.0,1.0,1260,0.001,80,37.8,18.2,11.6,2.4,1.0,2.0,0.527,,0.742,13.6,0.216,2001-02
16T,Peja Stojakovic,24,SAC,0.0,1.0,1260,0.001,71,37.3,21.2,5.3,2.5,1.1,0.2,0.484,0.416,0.876,9.9,0.179,2001-02
1,Tim Duncan,26,SAS,60.0,962.0,1190,0.808,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248,2002-03
2,Kevin Garnett,26,MIN,43.0,871.0,1190,0.732,82,40.5,23.0,13.4,6.0,1.4,1.6,0.502,0.282,0.751,15.6,0.225,2002-03
3,Kobe Bryant,24,LAL,8.0,496.0,1190,0.417,82,41.5,30.0,6.9,5.9,2.2,0.8,0.451,0.383,0.843,14.9,0.21,2002-03
4,Tracy McGrady,23,ORL,4.0,427.0,1190,0.359,75,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.793,16.1,0.262,2002-03
5,Shaquille O'Neal,30,LAL,3.0,126.0,1190,0.106,67,37.8,27.5,11.1,3.1,0.6,2.4,0.574,,0.622,13.2,0.25,2002-03
